	sentiment	comment
0	positive	прикольный и красивый смартфон, меня прям дизайн зацепил, работает тоже отлично, не глючит и держит заряд ооочень долго
2	positive	Рекомендую, советую.
3	negative	если бы не экран был бы отличным вариантом
4	positive	Телефон супер! Работает ооочень долго, зарядил до 100% во вторник вечером, использовал вай фай, звонки, музыку, видео и навигацию, только в субботу утром осталось 15% и включился режим экономии энергии. С 15% до 100% заряжается часа за полтора, батарея немного греется при зарядке. Во время работы ничего не греется, при просмотре онлайн видео, играх и тд. Встроенные демо игры идут хорошо ничего не подвисает. Камера снимает круто, куча настроек, вспышка светит очень ярко. GPS ловит шикарно, за пару секунд спутников 15 видит. Установил компас, тоже работает чётко. Через OTG кабель можно подключать обычные USB флешки, всё видит, также через него можно подзаряжать другие устройства, например блютус гарнитуру. При выборе основными критериями были большая ёмкость батареи, отдельные слоты под симки и карту памяти (не люблю новомодные гибридные слоты со скрепкой), хорошая камера и GPS. Изначально выбирал между Philips, Highscreen и Acer. Уверен с выбором не ошибся. В моём режиме использования батареи хватает на дня 3 - 4, если просто звонить то неделю проживёт. Телефон отличный, рекомендую!
5	positive	Телефон супер! Заряд держит ооочень долго! Зарядил во вторник вечером до 100 % и только в субботу утром осталось 15% и включился режим экономии энергии. За это время использовал музыку, звонки, камеру, вай фай, навигацию. Заряжается быстро часа полтора с 15% до 100%. При зарядке немного греется батарея. Во время работы ничего не греется при просмотре онлайн видео или видео из памяти. Встроенные демо игры идут без проблем, ничего не подвисает, но игры меня не интересуют, всё равно их удалю. Наушники в комплекте конечно никакие, лучше купить хорошие. GPS ловит очень быстро, за пару секунд спутников 15 видит, установил компас, тоже всё чётко работает. Камера круто снимает, вспышка светит осень ярко. Через OTG кабель можно подключать обычные USB флешки, всё видит, а также через него можно подзаряжать другие устройства, например блютус гарнитуру. В общем телефон супер! Всем рекомендую. Основными критериями при выборе для меня были большая ёмкость батареи, раздельные слоты под сим карту и карту памяти (не люблю эти новомодные гибридные слоты, где приходится выбирать либо симку либо карту памяти), хорошая камера и GPS. Выбирал между Philips, Highscreen и Aser, уверен с выбором не ошибся. Это мой третий смартфон и реально самый лучший.
6	positive	Наверное это лучший смартфон, которым я пользовался, приложения работают быстро и без нареканий, хороший динамик, камера, заряжаю 1 раз в три дня!!!!, очень нравится дизайн, цена более чем адекватная
7	positive	советую
8	positive	Смартфон  впечатлил при первом же знакомстве, стильный и тонкий, отлично в руке лежит, выпирающая камера ничуть не напрягает.  Смартфон впечатляет
11	positive	Флагман всё ещё актуален, вышло не так много действительно более крутых фаблетов
12	positive	В чёрно-серебристом он очень неплох.
13	positive	Будьте готовы купить беспроводные наушники, с разъемом Type-C гораздо дороже и сложнее найти.
14	positive	После месяца использования привык и к сканеру спереди и к торчащей камере, - царапин на ней кстати не появилось, чего боялся. По начинке все супер, но второй час в танки все таки греет корпус. Пока юзал без чехла сильно напрягалл, с кейсом почти не ощутимо. Удивил также довольно неплохой звук даже без мода, смысла в нет нет, если вы не меломан с идеальным слухом, А вот аккумулятор второй в кейсе - нужен, ибо живет Z чуть больше дня только
15	positive	своих денег он конечно стоит, но психологическая отметка - кошмар, Люблю Моторолу, только так и утешаю себя)
16	positive	Одним словом, если нужен классный телефон без никому не нужных понтов (ну, LTE из этого списка я бы не исключал) - это для Вас.  Придумывать что-то иное не хочется. Если кому-то нужны такие мелочи, как его держать в руке (скользит, не скользит), или что будет, если уронить в воду,  - не ко мне. Мне изделие понравилось. Дочь - в восторге (пользовалась всякими на Андроиде (ничего не хочу сказать в целом об Андроид-смартфонах, уважаю).
17	positive	уже месяц им пользуюсь, все хорошо, работает прекрасно! в нете можно найти и пленку и чехол(выбор большой).
18	positive	Выбор был между Tesla (для экспериментов хотел взять), LG G3 и Iphone 5s, выбрал Lumia, решив, что время перемен настало. И не пожалел, скажу вам - за такую цену вы получите хороший смартфон с весьма годными инструментами - игрушки, фотки, видюшки, интернет - все работает на ура. После обновки на 10 форточки - жить стало проще, жить стало веселее. Честно, не ожидал подобного, но теперь по ходу я на виндофоны подсел. И спасибо консультанту, который все показал и рассказал. Дай вам бог, ребята, таких сотрудников в каждый магазин)
19	positive	Если собираетесь брать телефон марки майкрософт, то в добавок возьмите защитную пленку и чехол противоударный.
20	positive	Очень понравился,не пожалела ,что купила. Приложения все легко устанавливают, не тормозят.
21	positive	Звук - средний. Устраивает. Были у меня телефоны и громче, были и тише. Стабильный и практичный телефон без излишних понтов.
22	positive	"В общем, сам телефон для своей стоимости просто конфета.
Даже учитывая не столь мощную батарею для меня остается лучшим в данной ценовой категории."
23	positive	это мой второй макромакс до этого был AQ5001 исправно проработал около 2-х лет и сейчас работает просто надоел убить его невозможно.этот гораздо тоньше и приятнее .коричневая задняя крышка смотрится шикарной.отличный телефон рад покупке
24	positive	Корпус собран на совесть. Всё прилегает плотно. и не скрипит.Железо мощное Asphalt 8 тянет как надо.Есть запись с радио.Камера если не темно фотографирует прилично.Батарею с 2 сим картами держит сутки.
25	positive	И так купили телефон, большой для маленьких рук- однозначно неудобно, камера хорошая, очень понравилось фото когда улыбаешься, сам фотает )) Интернет тянет хорошо, 3G+H ловит, в Хабаровске ловит и четверку. Программы стоят норм, ничего лишнего. Видео тоже отлично, пробовал загрузить танки и..... тянет. Сам телефон очень удобный, не скользкий. задняя панель под кожу. Берите не пожалеете
26	neutral	"специально не стал писать про преимущества и недостатки поскольку этот смарт это продукт компромиссов. дизайн и исполнение на уровне топ производителей. Дизайн конечно субъективен в любом случае, но качество производства поверхностей, обработка отличны. 
Производительность - достаточная но не топовая в как бы топовом смартфоне. версия на 64Гб памяти с урезаным  ЦП в среднем дает 114к версия на 128Гб 130к в антуту. Но при этом имеются непонятные подергивания в работе интерфейса и тд. 
ПО - тут отдельный разговор, это Мейзу это необычные очучения. Начнем с того что флагман производителя выпущенный в декабре 2016 а по факту в январе 2017 имеет Андроид 6.0.1 и Флайм 5 из коробки! Флайм 6 в глобалке еще на стадии Бета тестирования, хотя и доступен для общего использования. Обновиться ли до Андроид 7 это вообще вопрос. 
Камера - то же совокупность компромиссов. Нет она не плохая, но уступает тому же 1+ 3t. 
Выявленные косяки - по итогам собственного использования и опыта форумчан с 4ПДА. Часты дефекты внешнего динамика, дребезг и звон. Проблемы с зарядкой точнее с комплектным кабелем. Смарт не заряжается если засунуть кабель в зарядник до упора. Непонятки в ВиФи на 5Гг, отвалы и падение скорости , возможно это пофиксят прошивкой. 
Автономность - вот тут все достойно и очень с 8 до 22 смарт доживает с 20-30 процентов остатка. Полный заряд до 100п час с небольшим. Очень удобно.
Звук - тут все отлично! сразу скажу что при сравнении на фиговых наушниках ничего вразумительного вы не получите. 
Экран - так же вопросов нет. 
ИТОГО - качественно выделяет смарт только звуковая составляющая.  Если для вас это не важно или вы не слышите разницу с тем же 1+ 3t покупать Мейзу ПРо6+ смысла нет."
27	positive	Превосходный аппарат за свои деньги! Перебирал из многих вариантов, но так и не нашел вариант лучше этого. Отличный дизайн, в руке сидит как влитый.
28	positive	Пользуюсь им с момента старта продаж. Всем доволен. Предыдущий комментатор писал, что это, якобы, продукт компромиссов. Это не так. Телефон превосходит ожидания. Стоит помнить, что всё-таки он дешевле самсунга, по этому малость не дотягивает до него. Да и то только камерой. А автор предыдущего поста его видимо и в руках не держал.
29	positive	Пользуюсь этой моделью меньше месяца. В дизайне нет ничего лишнего! Очень удобен в использовании, красиво выглядит. С первого взгляда кажется что через чур большой и неудобный, но это не так! Как по мне все на своем месте. Все настроил как мне надо, и потратил на это не много времени. Все ясно и понятно. Боялся что у нас будет урезанная версия, но зря опасался. Работает хорошо, на все быстро срабатывает, в интернете, соцсетях сидеть одно удовольствие, в играх вообще летает! На счет защиты хочу сказать - просто улет! Попал под сильный дождь и не куда было спрятать телефон, прикрывал как мог но он все равно намок, да так что я начал паниковать. Пришел быстро домой просушил, вытер, все как работало так и работает. Затем поставил на зарядку, высветилось что нужно просушить вход для зарядки, просушил, начал заряжать. Защита реально супер!! Огромный плюс за противоударную защиту, хоть у меня еще не падал, но с этим телефоном я уверенно себя чувствую, так как до этого пару телефонов я убил) . Батарея держит сутки, причем при хорошей нагрузке, чего мне хватает! Отличная модель
30	positive	В виду моей деятельности этот флагман отвечает моим требованиям более чем!!! Не буду рассказывать все плюсы, напишу только о тех, которые ну очень удивили в хорошем смысле. Во-первых: внешне смартфон выглядит очень стильно. Округлые формы, металлическая рамка и отсутствие элементов, выходящих за пределы корпуса. Камеры все находятся под защитой Gorila Glass 3, поэтому царапаться объективы по идее не должны . Во-вторых: это звук. С цапом музыка звучит круто очень. В-третьих: самое интересное – это масса возможностей для создания и редактирования фото и видео материалов. Понятно, что в таком смартфоне с камерами всё в порядке. А вот приятные всякие штуки удивили очень. Интересный режим Food Mode для съемки еды, панорамная съемка и даже возможность создания GIF. G6 первый в мире смартфон с поддержкой Dolby Vision и HDR 10!!! Высокая детализация, точная цветопередача и сказочное качество. И я горжусь тем, что я им пользуюсь, честно)) Если описать смартфон в нескольких словах: стильный, надежный, опционально развитый, производительный.
31	positive	"я считаю это прорыв года!!!! хоть что-то новое из всех производителей придумала компания LG (защита от падений и ударов, широкоформатная съемка, запись звука в четырехканальном режиме, ) - потрясающий телефон. Самсунг и Апл каждый год выпускают одно и то же - только дизайн меняют. Я не говорю уже о китайском барахле, которое заманивает покупателя своими ""якобы"" мощными характеристиками - а на практике-то совсем все по-другому. LG G6 - качественная корейская сборка, проверенная опытом!!!"
32	positive	"Все выше перечисленные недостатки это скорее придирки, но о них, как мне кажется, нужно знать. Так же хотел бы сказать, что такие фишки, как 2-ая широкоугольная камера и Hi-fi режим, по большому счету бесполезны. Качество широкоугольной камеры сильно уступает качеству основной камеры и пользуюсь я ей довольно редко, а если быть честным, то побаловался, и перестал пользоваться вообще. Hi-fi - тема для гурманов, но
 в (!) обычных (!) наушниках разницы вообще нету (совсем никакой), как в качестве звука, так и в его громкости. Как мне кажется, простым людям больше бы пригодилась функция беспроводной зарядки. 
По поводу процессора: 820-ого хватает абсолютно на все, даже на тяжелые игры. Но тут ключевой факт в том, что большенство тяжелых игр на андроиде (субъективно) хрень, и играть в них неудобно/неинтересно. Поэтому я бы порекомендовал не покупать подобные телефоны за такую сумму денег, т.к. большая часть мощности аппарата простаивает. Единственное, что по большому счету отличает LG G6 от того же Honor 8 это камера -она здесь лучше. Но в остальном это такой-же телефон, а качество снимков того же Honor 8 вполне достойное, а у OnePlus 3 почти такое же, как и у LG. 
Влагозащита это хорошо, но что ее не было, что она есть, одинаково нет желания промыть телефон под струей воды или 
бросить его в унитаз. Плавать с ним как-то тоже не тянет, даже зная о его защищенности.
Быстрая зарядка для меня оказалась сомнительным плюсом т.к. заряжается телефон не за 15-20 минут, а сильной разницы
 между обычной зарядкой и быстрой в повседневном использовании я не заметил. Хватает зарядки ровно на день использования.
И помните, это всего-лишь мои мысли, но я надеюсь, что они помогут вам определиться, действительно ли вам нужен такой телефон. Я считаю, что единственное, за что вы переплачиваете 20-30 тысяч, так это за немного лучшую камеру, интересный дизайн и условную ""защиту""."
